auth_last,auth_first,publ_date,auth_gender,author_id
Catherwood,Mary Hartwell,1893,F,153
Dodge,Mary Mapes,1893,F,154
Eggleston,Edward,1893,M,155
Goodwin,C. C.,1893,M,156
Grant,Robert,1893,M,157
Harte,Bret,1893,M,158
Holley,Marietta,1893,F,159
Howells,William Dean,1893,M,160
King,Charles,1893,M,161
Musick,John R.,1893,M,162
Musick,John R.,1893,M,163
Musick,John R.,1893,M,164
Lothrop,Harriet Mulford Stone,1893,F,165
Stevens,C. M.,1893,M,166
Allen,James Lane,1894,M,167
Astor,John Jacob,1894,M,168
Bangs,John Kendrick,1894,M,169
Chambers,Robert W.,1894,M,170
Crawford,F. Marion,1894,M,171
Curtis,George William,1894,M,172
Ford,Paul Leicester,1894,M,173
Fuller,Anna,1894,F,174
Gunnison,Charles A.,1894,M,175
Harben,Will N.,1894,M,176
Harris,Joel Chandler,1894,M,177
Howells,William Dean,1894,M,178
Machen,Arthur,1894,M,179
Nye,Bill,1894,M,180
Ottolengui,Rodrigues,1894,M,181
Page,Thomas Nelson,1894,M,182
Paine,Albert Bigelow,1894,M,183
Twain,Mark,1894,M,184
Twain,Mark,1894,M,185
Bangs,John Kendrick,1895,M,186
Chambers,Robert W.,1895,M,187
Coffin,Charles Carleton,1895,M,188
Crane,Stephen,1895,M,189
Crawford,F. Marion,1895,M,190
Fuller,Henry Blake,1895,M,191
Garland,Hamlin,1895,M,192
Green,Anna Katharine,1895,F,193
Harte,Bret,1895,M,194
Harte,Bret,1895,M,195
Howells,William Dean,1895,M,196
Jewett,Sarah Orne,1895,F,197
Jordan,David Starr,1895,M,198
Le Gallienne,Richard,1895,M,199
Machen,Arthur,1895,M,200
Smith,Francis Hopkinson,1895,M,201
Van Dyke,Henry,1895,M,202
Allen,James Lane,1896,M,203
Bangs,John Kendrick,1896,M,204
Blossom,Henry,1896,M,205
Bunner,H. C.,1896,M,206
Burnett,Frances Hodgson,1896,F,207
Crane,Stephen,1896,M,208
Evans,Augusta J.,1896,F,209
Finley,Martha,1896,F,210
Frederic,Harold,1896,M,211
Freeman,Mary Eleanor Wilkins,1896,F,212
Fuller,Anna,1896,F,213
Gunnison,Charles A.,1896,M,214
Hawthorne,Julian,1896,M,215
James,Henry,1896,M,216
Jewett,Sarah Orne,1896,F,217
King,Charles,1896,M,218
Mitchell,S. Weir,1896,M,219
Phelps,Elizabeth Stuart,1896,F,220
Read,Opie Percival,1896,M,221
Read,Opie Percival,1896,M,222
Smith,Francis Hopkinson,1896,M,223
Stuart,Ruth McEnery,1896,F,224
Twain,Mark,1896,M,225
Wiggin,Kate Douglas Smith,1896,F,226
Wilcox,Ella Wheeler,1896,F,227
Wister,Owen,1896,M,228
Bangs,John Kendrick,1897,M,229
Barbour,A. Maynard,1897,F,230
Beale,Charles Willing,1897,M,231
Bell,Lilian,1897,F,232
Bellamy,Edward,1897,M,233
Brown,Alice,1897,F,234
Carruth,Hayden,1897,M,235
Chambers,Robert W.,1897,M,236
Churchill,Winston,1897,M,237
Crane,Stephen,1897,M,238
Davis,Rebecca Harding,1897,F,239
Davis,Richard Harding,1897,M,240
De Mille,James,1897,M,241
Evans,Augusta J.,1897,F,242
Fitch,Clyde,1897,M,243
Freeman,Mary Eleanor Wilkins,1897,F,244
Goodwin,Maud Wilder,1897,F,245
Green,Anna Katharine,1897,F,246
James,Henry,1897,M,247
Lewis,Alfred Henry,1897,M,248
Lynde,Francis,1897,M,249
Read,Opie Percival,1897,M,250
Richards,Laura Elizabeth Howe,1897,F,251
Stephens,Robert Neilson,1897,M,252
Wilson,Anna May,1897,F,253
Atherton,Gertrude Franklin Horn,1898,F,254
Bangs,John Kendrick,1898,M,255
Bates,Arlo,1898,M,256
Brady,Cyrus Townsend,1898,M,257
Chapman,S. E.,1898,M,258
Douglas,Amanda M.,1898,F,259
Dunne,Finley Peter,1898,M,260
Finley,Martha,1898,F,261
Garland,Hamlin,1898,M,262
Glasgow,Ellen Anderson Gholson,1898,F,263
James,Henry,1898,M,264
Janvier,Thomas A.,1898,M,265
Johnston,Mary,1898,F,266
King,Charles,1898,M,267
Le Gallienne,Richard,1898,M,268
Norris,Frank,1898,M,269
Read,Opie Percival,1898,M,270
Reed,Helen Leah,1898,F,271
Richards,Laura Elizabeth Howe,1898,F,272
Robinson,Rowland Evans,1898,M,273
Stephens,Robert Neilson,1898,M,274
Wister,Owen,1898,M,275
Atherton,Gertrude Franklin Horn,1899,F,276
Bangs,John Kendrick,1899,M,277
Burnett,Frances Hodgson,1899,F,278
Murfree,Mary Noailles,1899,F,279
Devereux,Mary,1899,F,280
Dickson,Harris,1899,M,281
Dunne,Finley Peter,1899,M,282
Ford,Paul Leicester,1899,M,283
Fox,John,1899,M,284
Freeman,Mary Eleanor Wilkins,1899,F,285
Garland,Hamlin,1899,M,286
Green,Anna Katharine,1899,F,287
Griggs,Sutton E.,1899,M,288
Holmes,Mary Jane,1899,F,289
Howells,William Dean,1899,M,290
James,Henry,1899,M,291
King,Charles,1899,M,292
MacGrath,Harold,1899,M,293
Norris,Frank,1899,M,294
Norris,Frank,1899,M,295
Stephens,Robert Neilson,1899,M,296
Warman,Cy,1899,M,297
Waterloo,Stanley,1899,M,298
Wharton,Edith,1899,F,299
Worthington,Elizabeth Strong,1899,F,300
Adams,Francis A.,1900,0,301
Allen,James Lane,1900,M,302
Atherton,Gertrude Franklin Horn,1900,F,303
Babcock,Bernie,1900,F,304
Bacheller,Irving,1900,M,305
Bellamy,Edward,1900,M,306
Crawford,F. Marion,1900,M,307
Davis,William Stearns,1900,M,308
Dreiser,Theodore,1900,M,309
Ford,Paul Leicester,1900,M,310
Fox,John,1900,M,311
Fox,John,1900,M,312
Glasgow,Ellen Anderson Gholson,1900,F,313
Goss,Charles Frederic,1900,M,314
Green,Anna Katharine,1900,F,315
Grismer,Joseph Rhode,1900,M,316
Herrick,Robert,1900,0,317
Johnston,Mary,1900,F,318
Kelly,Florence Finch,1900,F,319
Laut,Agnes C.,1900,F,320
Magruder,Julia,1900,F,321
Mitchell,S. Weir,1900,M,322
Paine,Albert Bigelow,1900,M,323
Peck,George W.,1900,M,324
Pidgin,Charles Felton,1900,M,325
Sage,William,1900,M,326
Serviss,Garrett Putman,1900,M,327
Stratemeyer,Edward,1900,M,328
Tarkington,Booth,1900,M,329
Thompson,Maurice,1900,M,330
Wiggin,Kate Douglas Smith,1900,F,331
Worthington,Elizabeth Strong,1900,F,332
Bacheller,Irving,1901,M,333
Catherwood,Mary Hartwell,1901,F,334
Chesnutt,Charles W.,1901,M,335
Crawford,F. Marion,1901,M,336
Davis,Richard Harding,1901,M,337
Freeman,Mary Eleanor Wilkins,1901,F,338
Fuller,Henry Blake,1901,M,339
Harben,Will N.,1901,M,340
Harte,Bret,1901,M,341
James,Henry,1901,M,342
Kingsley,Florence Morse,1901,F,343
MacGrath,Harold,1901,M,344
McCutcheon,George Barr,1901,M,345
Merwin,Samuel,1901,M,346
Mitchell,John Ames,1901,M,347
Post,Melville Davisson,1901,M,348
Roe,Edward Payson,1901,M,349
Ryan,Marah Ellis,1901,F,350
Sinclair,Upton,1901,M,351
Stevenson,Burton Egbert,1901,M,352
Stoddard,Elizabeth,1901,F,353
Sweetser,Kate Dickinson,1901,F,354
Wells,Carolyn,1901,F,355
Banks,Nancy Huston,1902,F,356
Cable,George Washington,1902,M,357
Davis,Richard Harding,1902,M,358
Dunbar,Paul Laurence,1902,M,359
Dunne,Finley Peter,1902,M,360
Evans,Augusta J.,1902,F,361
Field,Roswell Martin,1902,M,362
Foote,Mary Hallock,1902,F,363
Garland,Hamlin,1902,M,364
Harland,Henry,1902,M,365
Harte,Bret,1902,M,366
Holmes,Mary Jane,1902,F,367
Hough,Emerson,1902,M,368
Howells,William Dean,1902,M,369
Huneker,James,1902,M,370
Isham,Frederic Stewart,1902,M,371
James,Henry,1902,M,372
Johnston,Mary,1902,F,373
King,Charles,1902,M,374
Laut,Agnes C.,1902,F,375
Liljencrantz,Ottilie A.,1902,F,376
Litsey,Edwin Carlile,1902,M,377
London,Jack,1902,M,378
Lorimer,George Horace,1902,M,379
Major,Charles,1902,M,380
Martin,George Madden,1902,F,381
McCutcheon,George Barr,1902,M,382
Munn,Charles Clark,1902,M,383
Phelps,Elizabeth Stuart,1902,F,384
Phillips,Henry Wallace,1902,M,385
Reed,Myrtle,1902,F,386
Seawell,Molly Elliot,1902,F,387
Smith,Francis Hopkinson,1902,M,388
Tarkington,Booth,1902,M,389
Tileston,Merrill,1902,M,390
Van Dyke,Henry,1902,M,391
Wharton,Edith,1902,F,392
White,Stewart Edward,1902,M,393
Wister,Owen,1902,M,394
Wister,Owen,1902,M,395
Adams,Andy,1903,M,396
Ade,George,1903,M,397
Allen,James Lane,1903,M,398
Banks,Nancy Huston,1903,F,399
Brady,Cyrus Townsend,1903,M,400
Burnham,Clara Louise,1903,M,401
Crawford,F. Marion,1903,M,402
Curtis,Wardon Allan,1903,M,403
Dixon,Thomas,1903,M,404
Fox,John,1903,M,405
Glyn,Elinor,1903,F,406
Gratacap,L. P.,1903,M,407
Green,Anna Katharine,1903,F,408
Grey,Zane,1903,M,409
Isham,Frederic Stewart,1903,M,410
King,Charles,1903,M,411
Liljencrantz,Ottilie A.,1903,F,412
London,Jack,1903,M,413
MacGrath,Harold,1903,M,414
Major,Charles,1903,M,415
Manning,Marie,1903,F,416
Nason,Frank Lewis,1903,M,417
Page,Thomas Nelson,1903,M,418
Rice,Alice Caldwell Hegan,1903,F,419
Saunders,Marshall,1903,F,420
Sinclair,Upton,1903,M,421
Smith,Arthur Cosslett,1903,M,422
Smith,Francis Hopkinson,1903,M,423
Smith,Mabel S. C.,1903,F,424
Spearman,Frank H.,1903,M,425
Stratton-Porter,Gene,1903,F,426
Tracy,Louis,1903,M,427
Wharton,Edith,1903,F,428
Wister,Owen,1903,M,429
Wright,Harold Bell,1903,M,430
Wright,Mabel Osgood,1903,F,431
Young,Rose E.,1903,F,432
Adams,Andy,1904,M,433
Brady,Cyrus Townsend,1904,M,434
Chambers,Robert W.,1904,M,435
Crawford,F. Marion,1904,M,436
Dunbar,Paul Laurence,1904,M,437
Duncan,Norman,1904,M,438
Garland,Hamlin,1904,M,439
Harland,Henry,1904,M,440
Henry,O.,1904,M,441
Holley,Marietta,1904,F,442
Hough,Emerson,1904,M,443
James,Henry,1904,M,444
Lane,Elinor Macartney,1904,F,445
Martin,George Madden,1904,F,446
Martin,Helen Reimensnyder,1904,F,447
McCutcheon,George Barr,1904,M,448
Michelson,Miriam,1904,F,449
Michelson,Miriam,1904,F,450
Parrish,Randall,1904,M,451
Parrish,Randall,1904,M,452
Stephens,Robert Neilson,1904,M,453
Stratton-Porter,Gene,1904,F,454
Streeter,John Williams,1904,M,455
White,Stewart Edward,1904,M,456
Whitlock,Brand,1904,M,457
Adams,Frederick Upham,1905,M,458
Beach,Rex,1905,M,459
Brainerd,Eleanor Hoyt,1905,F,460
Murfree,Mary Noailles,1905,F,461
Crawford,F. Marion,1905,M,462
Garland,Hamlin,1905,M,463
Green,Anna Katharine,1905,F,464
Green,Anna Katharine,1905,F,465
Grey,Zane,1905,M,466
Griggs,Sutton E.,1905,M,467
Holley,Marietta,1905,F,468
Huneker,James,1905,M,469
Lyle,Eugene P.,1905,M,470
MacGrath,Harold,1905,M,471
Major,Charles,1905,M,472
McCutcheon,George Barr,1905,M,473
McCutcheon,George Barr,1905,M,474
Nicholson,Meredith,1905,M,475
Phillips,David Graham,1905,M,476
Phillips,Henry Wallace,1905,M,477
Reed,Myrtle,1905,F,478
Richmond,Grace S.,1905,F,479
Saltus,Edgar,1905,M,480
Smith,Francis Hopkinson,1905,M,481
Stevenson,Burton Egbert,1905,M,482
Sweetser,Kate Dickinson,1905,F,483
Tarkington,Booth,1905,M,484
Tarkington,Booth,1905,M,485
Tracy,Louis,1905,M,486
Train,Arthur,1905,M,487
Van Dyke,Henry,1905,M,488
Warner,Anne,1905,F,489
Wiggin,Kate Douglas Smith,1905,F,490
Andrews,Mary Raymond Shipman,1906,F,491
Andrews,Mary Raymond Shipman,1906,F,492
Barbour,Ralph Henry,1906,M,493
Bower,B. M.,1906,F,494
Burnett,Frances Hodgson,1906,F,495
Burnham,Clara Louise,1906,M,496
Butler,Ellis Parker,1906,M,497
Chambers,Robert W.,1906,M,498
Chambers,Robert W.,1906,M,499
Churchill,Winston,1906,M,500
Deland,Margaret,1906,F,501
Eliot,Charles William,1906,M,502
Ford,Sewell,1906,M,503
Fox,John,1906,M,504
Freeman,Mary Eleanor Wilkins,1906,F,505
Gale,Zona,1906,F,506
Glasgow,Ellen Anderson Gholson,1906,F,507
Green,Anna Katharine,1906,F,508
Green,Anna Katharine,1906,F,509
Green,Anna Katharine,1906,F,510
Harte,Bret,1906,M,511
Hopkins,Herbert M.,1906,M,512
Johnston,Annie F.,1906,F,513
King,Charles,1906,M,514
Caldwell,Fannie,1906,F,515
London,Jack,1906,M,516
Long,John Luther,1906,M,517
Lorimer,George Horace,1906,M,518
MacGrath,Harold,1906,M,519
Machen,Arthur,1906,M,520
McCutcheon,George Barr,1906,M,521
Moore,John Trotwood,1906,M,522
Parrish,Randall,1906,M,523
Phillips,David Graham,1906,M,524
Reed,Myrtle,1906,F,525
Remington,Frederic,1906,M,526
Scott,John Reed,1906,M,527
Smith,Alice Prescott,1906,F,528
Spearman,Frank H.,1906,M,529
Turner,Ethel Sybil,1906,F,530
Walcott,Earle Ashley,1906,M,531
Warner,Anne,1906,F,532
Warner,Anne,1906,F,533
White,William Allen,1906,M,534
Wister,Owen,1906,M,535
Adams,Andy,1907,M,536
Ade,George,1907,M,537
Atherton,Gertrude Franklin Horn,1907,F,538
Bayne,Mary Addams,1907,F,539
Bierce,Ambrose,1907,M,540
Bower,B. M.,1907,F,541
Butler,Ellis Parker,1907,M,542
Chambers,Robert W.,1907,M,543
Comstock,Harriet T.,1907,F,544
Crawford,F. Marion,1907,M,545
Davis,Richard Harding,1907,M,546
Duncan,Norman,1907,M,547
Hall,Eliza Calvert,1907,F,548
Hough,Emerson,1907,M,549
Howells,William Dean,1907,M,550
Howells,William Dean,1907,M,551
Howells,William Dean,1907,M,552
Lillibridge,Will,1907,M,553
Machen,Arthur,1907,M,554
McCutcheon,George Barr,1907,M,555
Nicholson,Meredith,1907,M,556
Nicholson,Meredith,1907,M,557
Rhodes,W. H.,1907,M,558
Robins,Elizabeth,1907,F,559
Scott,John Reed,1907,M,560
Stratton-Porter,Gene,1907,F,561
Tarkington,Booth,1907,M,562
Vance,Louis Joseph,1907,M,563
Viereck,George Sylvester,1907,M,564
Wallace,Dillon,1907,M,565
Warner,Anne,1907,F,566
Wharton,Edith,1907,F,567
Wharton,Edith,1907,F,568
Wister,Owen,1907,M,569
Wright,Harold Bell,1907,M,570
Bangs,John Kendrick,1908,M,571
Blackwood,Algernon,1908,M,572
Butler,Ellis Parker,1908,M,573
Chamberlain,Esther,1908,F,574
Chambers,Robert W.,1908,M,575
Curwood,James Oliver,1908,M,576
Curwood,James Oliver,1908,M,577
Davis,Richard Harding,1908,M,578
Day,Holman,1908,M,579
Ford,Sewell,1908,M,580
Fox,John,1908,M,581
Freeman,Mary Eleanor Wilkins,1908,F,582
Glasgow,Ellen Anderson Gholson,1908,F,583
Henry,O.,1908,M,584
Henry,O.,1908,M,585
Herrick,Robert,1908,0,586
Herrick,Robert,1908,0,587
Hill,Grace Livingston,1908,F,588
Hill,Grace Livingston,1908,F,589
Howells,William Dean,1908,M,590
Johnston,Mary,1908,F,591
King,Charles,1908,M,592
London,Jack,1908,M,593
MacGowan,Alice,1908,F,594
MacGrath,Harold,1908,M,595
Mayo,Margaret,1908,F,596
McCutcheon,George Barr,1908,M,597
Parrish,Randall,1908,M,598
Phillips,Henry Wallace,1908,M,599
Raine,William MacLeod,1908,M,600
Richards,Laura Elizabeth Howe,1908,F,601
Rinehart,Mary Roberts,1908,F,602
Smith,Francis Hopkinson,1908,M,603
Tarkington,Booth,1908,M,604
Vance,Louis Joseph,1908,M,605
Allen,James Lane,1909,M,606
Bangs,John Kendrick,1909,M,607
Beach,Rex,1909,M,608
Bennet,Robert Ames,1909,M,609
Blackwood,Algernon,1909,M,610
Bower,B. M.,1909,F,611
Bower,B. M.,1909,F,612
Butler,Ellis Parker,1909,M,613
Cabell,James Branch,1909,M,614
Cabell,James Branch,1909,M,615
Chambers,Robert W.,1909,M,616
Crawford,F. Marion,1909,M,617
Crawford,F. Marion,1909,M,618
Davis,Richard Harding,1909,M,619
Duncan,Norman,1909,M,620
Forman,Justus Miles,1909,M,621
Forsslund,Louise,1909,M,622
Futrelle,Jacques,1909,M,623
Futrelle,Jacques,1909,M,624
Garland,Hamlin,1909,M,625
Glasgow,Ellen Anderson Gholson,1909,F,626
Glaspell,Susan,1909,F,627
Hall,Eliza Calvert,1909,F,628
Hapgood,Hutchins,1909,M,629
Henry,O.,1909,M,630
King,Basil,1909,M,631
Lillibridge,Will,1909,M,632
Lynde,Francis,1909,M,633
MacGrath,Harold,1909,M,634
McCutcheon,George Barr,1909,M,635
Muir,John,1909,M,636
Otis,James,1909,M,637
Peple,Edward,1909,M,638
Post,Emily,1909,F,639
Reed,Myrtle,1909,F,640
Rinehart,Mary Roberts,1909,F,641
Rinehart,Mary Roberts,1909,F,642
Ryan,Marah Ellis,1909,F,643
Twain,Mark,1909,M,644
White,Grace Miller,1909,F,645
White,William Allen,1909,M,646
Winslow,Helen M.,1909,F,647
Bonner,Geraldine,1910,F,648
Buck,Charles Neville,1910,M,649
Butler,Ellis Parker,1910,M,650
Chambers,Robert W.,1910,M,651
Chambers,Robert W.,1910,M,652
Chester,George Randolph,1910,M,653
Churchill,Winston,1910,M,654
Cooke,Grace MacGowan,1910,F,655
Curwood,James Oliver,1910,M,656
Daviess,Maria Thompson,1910,F,657
Davis,Richard Harding,1910,M,658
Davis,Richard Harding,1910,M,659
Deland,Margaret,1910,F,660
Freeman,Mary Eleanor Wilkins,1910,F,661
Baker,Ray Stannard,1910,M,662
Green,Anna Katharine,1910,F,663
Grey,Zane,1910,M,664
Grey,Zane,1910,M,665
Harben,Will N.,1910,M,666
Henry,O.,1910,M,667
Henry,O.,1910,M,668
Hough,Emerson,1910,M,669
James,Henry,1910,M,670
King,Basil,1910,M,671
Landis,Frederick,1910,M,672
Laut,Agnes C.,1910,F,673
Lincoln,Joseph Crosby,1910,M,674
London,Jack,1910,M,675
London,Jack,1910,M,676
MacGrath,Harold,1910,M,677
McCarter,Margaret Hill,1910,F,678
McCutcheon,George Barr,1910,M,679
McElroy,John,1910,M,680
Mulford,Clarence Edward,1910,M,681
Nicholson,Meredith,1910,M,682
Parrish,Randall,1910,M,683
Patchin,Frank Gee,1910,M,684
Phelps,Elizabeth Stuart,1910,F,685
Reed,Myrtle,1910,F,686
Rinehart,Mary Roberts,1910,F,687
Sinclair,Upton,1910,M,688
Sullivan,May Kellogg,1910,F,689
Wiggin,Kate Douglas Smith,1910,F,690
Adams,Samuel Hopkins,1911,M,691
Aldrich,Thomas Bailey,1911,M,692
Andrews,Mary Raymond Shipman,1911,F,693
Bacheller,Irving,1911,M,694
Bosher,Kate Langley,1911,F,695
Buck,Charles Neville,1911,M,696
Bartlett,Frederick Orin,1911,0,697
Chambers,Robert W.,1911,M,698
Curwood,James Oliver,1911,M,699
Curwood,James Oliver,1911,M,700
Daviess,Maria Thompson,1911,F,701
Day,Holman,1911,M,702
Deland,Margaret,1911,F,703
Dixon,Thomas,1911,M,704
Dreiser,Theodore,1911,M,705
Fitch,George,1911,M,706
Flower,Jessie Graham,1911,F,707
Ford,Sewell,1911,M,708
Glasgow,Ellen Anderson Gholson,1911,F,709
Grey,Zane,1911,M,710
Harrison,Henry Sydnor,1911,M,711
Holley,Marietta,1911,F,712
Johnston,Mary,1911,F,713
Kester,Vaughan,1911,M,714
London,Jack,1911,M,715
London,Jack,1911,M,716
McCutcheon,George Barr,1911,M,717
Parrish,Randall,1911,M,718
Parrish,Randall,1911,M,719
Phillips,David Graham,1911,M,720
Porter,Eleanor H.,1911,F,721
Reeve,Arthur B.,1911,M,722
Rihani,Ameen Fares,1911,M,723
Rockwood,Roy,1911,0,724
Sheldon,Charles M.,1911,M,725
Smith,Francis Hopkinson,1911,M,726
Smith,Francis Hopkinson,1911,M,727
Stevens,Isaac Newton,1911,M,728
Strunsky,Simeon,1911,M,729
Webster,Alice Jane Chandler,1911,F,730
Wharton,Edith,1911,F,731
Wiggin,Kate Douglas Smith,1911,F,732
Wister,Owen,1911,M,733
Ade,George,1912,M,734
Baum,L. Frank,1912,M,735
Bosher,Kate Langley,1912,F,736
Bower,B. M.,1912,F,737
Burroughs,Edgar Rice,1912,M,738
Chambers,Robert W.,1912,M,739
Chester,George Randolph,1912,M,740
Comfort,Will Levington,1912,M,741
Curwood,James Oliver,1912,M,742
Daviess,Maria Thompson,1912,F,743
Davis,Richard Harding,1912,M,744
Dwyer,James Francis,1912,M,745
Ellis,John Breckinridge,1912,M,746
Freeman,Mary Eleanor Wilkins,1912,F,747
Freeman,Mary Eleanor Wilkins,1912,F,748
Glass,Montague,1912,M,749
Glyn,Elinor,1912,F,750
Hill,Grace Livingston,1912,F,751
House,Edward Mandell,1912,M,752
Johnson,James Weldon,1912,M,753
Kester,Vaughan,1912,M,754
King,Basil,1912,M,755
Caldwell,Fannie,1912,F,756
Lockhart,Caroline,1912,F,757
London,Jack,1912,M,758
London,Jack,1912,M,759
MacGrath,Harold,1912,M,760
Major,Charles,1912,M,761
McCutcheon,George Barr,1912,M,762
Munger,Dell H.,1912,F,763
Nicholson,Meredith,1912,M,764
Norris,Kathleen Thompson,1912,F,765
Palmer,Frederick,1912,M,766
Parrish,Randall,1912,M,767
Raine,William MacLeod,1912,M,768
Rice,Alice Caldwell Hegan,1912,F,769
Rinehart,Mary Roberts,1912,F,770
Rives,Hallie Erminie,1912,F,771
Robertson,Morgan,1912,M,772
Scott,Leroy,1912,M,773
Seltzer,Charles Alden,1912,M,774
Stephens,C. A.,1912,M,775
Vance,Louis Joseph,1912,M,776
White,Stewart Edward,1912,M,777
Abbott,Eleanor Hallowell,1913,F,778
Beach,Rex,1913,M,779
Biggers,Earl Derr,1913,M,780
Blackwood,Algernon,1913,M,781
Burroughs,Edgar Rice,1913,M,782
Chambers,Robert W.,1913,M,783
Curwood,James Oliver,1913,M,784
Daviess,Maria Thompson,1913,F,785
Davis,Richard Harding,1913,M,786
